customer_id,age,monthly_bill,tenure_months,support_calls,usage_hours,contract_type,churn
CUST0080,46,80.0,10,3,23,monthly,1
CUST0081,37,54.0,22,1,36,one_year,0
CUST0082,65,88.0,5,5,15,monthly,1
CUST0083,28,36.0,44,0,49,two_year,0
CUST0084,48,72.0,15,3,27,monthly,0
CUST0085,55,66.0,17,2,31,one_year,0
CUST0086,32,92.0,6,4,17,monthly,1
CUST0087,41,44.0,33,1,43,one_year,0
CUST0088,24,28.0,68,0,59,two_year,0
CUST0089,59,98.0,2,6,9,monthly,1
CUST0090,35,50.0,27,1,38,monthly,0
CUST0091,51,84.0,9,4,20,monthly,1
CUST0092,63,60.0,20,2,34,one_year,0
CUST0093,27,76.0,12,3,25,monthly,1
CUST0094,44,34.0,52,0,51,two_year,0
CUST0095,58,110.0,4,7,8,monthly,1
CUST0096,36,46.0,30,1,40,one_year,0
CUST0097,20,82.0,7,4,18,monthly,1
CUST0098,49,56.0,25,1,37,one_year,0
CUST0099,62,40.0,42,0,46,two_year,0
CUST0100,30,90.0,5,5,13,monthly,1
CUST0101,45,65.0,18,2,32,monthly,0
CUST0102,57,78.0,11,3,24,monthly,1
CUST0103,33,48.0,35,1,44,one_year,0
CUST0104,69,102.0,2,6,10,monthly,1
CUST0105,26,32.0,60,0,55,two_year,0
CUST0106,40,86.0,8,4,21,monthly,1
CUST0107,54,52.0,22,1,35,one_year,0
CUST0108,38,70.0,16,2,29,monthly,0
CUST0109,61,94.0,3,5,12,monthly,1
CUST0110,25,38.0,46,0,50,two_year,0
CUST0111,47,80.0,10,3,22,monthly,1
CUST0112,53,62.0,20,1,33,one_year,0
CUST0113,34,58.0,24,2,36,monthly,0
CUST0114,66,108.0,1,7,6,monthly,1
CUST0115,29,42.0,38,0,47,two_year,0
CUST0116,42,88.0,6,5,16,monthly,1
CUST0117,56,48.0,27,1,39,one_year,0
CUST0118,31,74.0,13,3,25,monthly,1
CUST0119,64,35.0,50,0,52,two_year,0
CUST0120,37,96.0,4,6,11,monthly,1
CUST0121,50,64.0,18,2,30,one_year,0
CUST0122,23,52.0,26,1,38,monthly,0
CUST0123,48,100.0,5,5,14,monthly,1
CUST0124,35,30.0,64,0,57,two_year,0
CUST0125,58,82.0,9,4,20,monthly,1
CUST0126,27,60.0,21,1,34,one_year,0
CUST0127,63,76.0,12,3,23,monthly,1
CUST0128,41,45.0,36,0,44,two_year,0
CUST0129,52,90.0,5,5,15,monthly,1
CUST0130,30,68.0,15,2,28,monthly,0
CUST0131,46,84.0,8,4,19,monthly,1
CUST0132,60,54.0,23,1,37,one_year,0
CUST0133,22,36.0,48,0,51,two_year,0
CUST0134,39,98.0,2,6,9,monthly,1
CUST0135,55,70.0,14,2,27,one_year,0
CUST0136,32,46.0,28,1,41,monthly,0
CUST0137,67,105.0,3,7,8,monthly,1
CUST0138,28,40.0,42,0,48,two_year,0
CUST0139,44,78.0,10,3,22,monthly,1
CUST0140,51,56.0,25,1,36,one_year,0
CUST0141,36,86.0,7,4,18,monthly,1
CUST0142,65,32.0,58,0,54,two_year,0
CUST0143,24,72.0,12,3,26,monthly,1
CUST0144,49,62.0,19,2,31,one_year,0
CUST0145,57,92.0,4,5,13,monthly,1
CUST0146,33,50.0,30,1,39,one_year,0
CUST0147,43,38.0,45,0,49,two_year,0
CUST0148,62,112.0,2,7,7,monthly,1
CUST0149,26,66.0,16,2,30,monthly,0
CUST0150,53,80.0,9,3,21,monthly,1
